"model","parameter","threshold","accuracy","sensitivity","specificity","precision","f1","auc"
"Random forest","mtry=4",0.27,0.876369327073552,0.745664739884393,0.89683257918552,0.530864197530864,0.620192307692308,0.901009599037481
"Random forest","mtry=2",0.23,0.869327073552426,0.763005780346821,0.885972850678733,0.511627906976744,0.612529002320186,0.90077681583972
"Random forest","mtry=3",0.26,0.874804381846635,0.751445086705202,0.894117647058824,0.526315789473684,0.619047619047619,0.89914994899694
"Random forest","mtry=6",0.32,0.888888888888889,0.699421965317919,0.918552036199095,0.57345971563981,0.630208333333333,0.896108074176758
"Random forest","mtry=5",0.31,0.88810641627543,0.705202312138728,0.916742081447964,0.570093457943925,0.630490956072351,0.893803782073078
"Logistic regression","none",0.34,0.874021909233177,0.566473988439306,0.922171945701358,0.532608695652174,0.549019607843137,0.870467920382915
"Decision tree","cp=0.001",0.14,0.84585289514867,0.61271676300578,0.882352941176471,0.449152542372881,0.518337408312958,0.819077760050218
"Decision tree","cp=0.003",0.14,0.852112676056338,0.589595375722543,0.893212669683258,0.463636363636364,0.519083969465649,0.798587607564146
"Decision tree","cp=0.005",0.14,0.863067292644757,0.578034682080925,0.907692307692308,0.495049504950495,0.533333333333333,0.780817618287867
"Decision tree","cp=0.01",0.14,0.852895148669797,0.554913294797688,0.899547511312217,0.463768115942029,0.505263157894737,0.77221248659535
"Decision tree","cp=0.02",0.15,0.863067292644757,0.485549132947977,0.922171945701358,0.494117647058824,0.489795918367347,0.740943687390474
"Decision tree","cp=0.04",0.09,0.846635367762128,0.491329479768786,0.902262443438914,0.440414507772021,0.46448087431694,0.695765438233986
